"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Liverpool";"Norwich";1;"2019-08-09T19:00:00Z";4;1
"West Ham";"Man City";1;"2019-08-10T11:30:00Z";0;5
"Burnley";"Southampton";1;"2019-08-10T14:00:00Z";3;0
"Crystal Palace";"Everton";1;"2019-08-10T14:00:00Z";0;0
"Watford";"Brighton";1;"2019-08-10T14:00:00Z";0;3
"Bournemouth";"Sheffield Utd";1;"2019-08-10T14:00:00Z";1;1
"Tottenham";"Aston Villa";1;"2019-08-10T16:30:00Z";3;1
"Leicester";"Wolves";1;"2019-08-11T13:00:00Z";0;0
"Newcastle";"Arsenal";1;"2019-08-11T13:00:00Z";0;1
"Man United";"Chelsea";1;"2019-08-11T15:30:00Z";4;0
"Arsenal";"Burnley";2;"2019-08-17T11:30:00Z";2;1
"Aston Villa";"Bournemouth";2;"2019-08-17T14:00:00Z";1;2
"Everton";"Watford";2;"2019-08-17T14:00:00Z";1;0
"Norwich";"Newcastle";2;"2019-08-17T14:00:00Z";3;1
"Southampton";"Liverpool";2;"2019-08-17T14:00:00Z";1;2
"Brighton";"West Ham";2;"2019-08-17T14:00:00Z";1;1
"Man City";"Tottenham";2;"2019-08-17T16:30:00Z";2;2
"Sheffield Utd";"Crystal Palace";2;"2019-08-18T13:00:00Z";1;0
"Chelsea";"Leicester";2;"2019-08-18T15:30:00Z";1;1
"Wolves";"Man United";2;"2019-08-19T19:00:00Z";1;1
"Aston Villa";"Everton";3;"2019-08-23T19:00:00Z";2;0
"Norwich";"Chelsea";3;"2019-08-24T11:30:00Z";2;3
"Man United";"Crystal Palace";3;"2019-08-24T14:00:00Z";1;2
"Sheffield Utd";"Leicester";3;"2019-08-24T14:00:00Z";1;2
"Brighton";"Southampton";3;"2019-08-24T14:00:00Z";0;2
"Watford";"West Ham";3;"2019-08-24T14:00:00Z";1;3
"Liverpool";"Arsenal";3;"2019-08-24T16:30:00Z";3;1
"Bournemouth";"Man City";3;"2019-08-25T13:00:00Z";1;3
"Wolves";"Burnley";3;"2019-08-25T15:30:00Z";1;1
"Tottenham";"Newcastle";3;"2019-08-25T15:30:00Z";0;1
"Southampton";"Man United";4;"2019-08-31T11:30:00Z";1;1
"Man City";"Brighton";4;"2019-08-31T14:00:00Z";4;0
"Newcastle";"Watford";4;"2019-08-31T14:00:00Z";1;1
"Chelsea";"Sheffield Utd";4;"2019-08-31T14:00:00Z";2;2
"Leicester";"Bournemouth";4;"2019-08-31T14:00:00Z";3;1
"West Ham";"Norwich";4;"2019-08-31T14:00:00Z";2;0
"Crystal Palace";"Aston Villa";4;"2019-08-31T14:00:00Z";1;0
"Burnley";"Liverpool";4;"2019-08-31T16:30:00Z";0;3
"Everton";"Wolves";4;"2019-09-01T13:00:00Z";3;2
"Arsenal";"Tottenham";4;"2019-09-01T15:30:00Z";2;2
"Liverpool";"Newcastle";5;"2019-09-14T11:30:00Z";3;1
"Wolves";"Chelsea";5;"2019-09-14T14:00:00Z";2;5
"Tottenham";"Crystal Palace";5;"2019-09-14T14:00:00Z";4;0
"Man United";"Leicester";5;"2019-09-14T14:00:00Z";1;0
"Sheffield Utd";"Southampton";5;"2019-09-14T14:00:00Z";0;1
"Brighton";"Burnley";5;"2019-09-14T14:00:00Z";1;1
"Norwich";"Man City";5;"2019-09-14T16:30:00Z";3;2
"Bournemouth";"Everton";5;"2019-09-15T13:00:00Z";3;1
"Watford";"Arsenal";5;"2019-09-15T15:30:00Z";2;2
"Aston Villa";"West Ham";5;"2019-09-16T19:00:00Z";0;0
"Southampton";"Bournemouth";6;"2019-09-20T19:00:00Z";1;3
"Leicester";"Tottenham";6;"2019-09-21T11:30:00Z";2;1
"Man City";"Watford";6;"2019-09-21T14:00:00Z";8;0
"Everton";"Sheffield Utd";6;"2019-09-21T14:00:00Z";0;2
"Burnley";"Norwich";6;"2019-09-21T14:00:00Z";2;0
"Newcastle";"Brighton";6;"2019-09-21T16:30:00Z";0;0
"West Ham";"Man United";6;"2019-09-22T13:00:00Z";2;0
"Crystal Palace";"Wolves";6;"2019-09-22T13:00:00Z";1;1
"Arsenal";"Aston Villa";6;"2019-09-22T15:30:00Z";3;2
"Chelsea";"Liverpool";6;"2019-09-22T15:30:00Z";1;2
"Sheffield Utd";"Liverpool";7;"2019-09-28T11:30:00Z";0;1
"Wolves";"Watford";7;"2019-09-28T14:00:00Z";2;0
"Aston Villa";"Burnley";7;"2019-09-28T14:00:00Z";2;2
"Chelsea";"Brighton";7;"2019-09-28T14:00:00Z";2;0
"Tottenham";"Southampton";7;"2019-09-28T14:00:00Z";2;1
"Crystal Palace";"Norwich";7;"2019-09-28T14:00:00Z";2;0
"Bournemouth";"West Ham";7;"2019-09-28T14:00:00Z";2;2
"Everton";"Man City";7;"2019-09-28T16:30:00Z";1;3
"Leicester";"Newcastle";7;"2019-09-29T15:30:00Z";5;0
"Man United";"Arsenal";7;"2019-09-30T19:00:00Z";1;1
"Brighton";"Tottenham";8;"2019-10-05T11:30:00Z";3;0
"Liverpool";"Leicester";8;"2019-10-05T14:00:00Z";2;1
"Norwich";"Aston Villa";8;"2019-10-05T14:00:00Z";1;5
