"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Fulham";"Arsenal";1;"2020-09-12T11:30:00Z";0;3
"Crystal Palace";"Southampton";1;"2020-09-12T14:00:00Z";1;0
"Liverpool";"Leeds";1;"2020-09-12T16:30:00Z";4;3
"West Ham";"Newcastle";1;"2020-09-12T19:00:00Z";0;2
"West Bromwich";"Leicester";1;"2020-09-13T13:00:00Z";0;3
"Tottenham";"Everton";1;"2020-09-13T15:30:00Z";0;1
"Sheffield Utd";"Wolves";1;"2020-09-14T17:00:00Z";0;2
"Brighton";"Chelsea";1;"2020-09-14T19:15:00Z";1;3
"Everton";"West Bromwich";2;"2020-09-19T11:30:00Z";5;2
"Leeds";"Fulham";2;"2020-09-19T14:00:00Z";4;3
"Man United";"Crystal Palace";2;"2020-09-19T16:30:00Z";1;3
"Arsenal";"West Ham";2;"2020-09-19T19:00:00Z";2;1
"Southampton";"Tottenham";2;"2020-09-20T11:00:00Z";2;5
"Newcastle";"Brighton";2;"2020-09-20T13:00:00Z";0;3
"Chelsea";"Liverpool";2;"2020-09-20T15:30:00Z";0;2
"Leicester";"Burnley";2;"2020-09-20T18:00:00Z";4;2
"Aston Villa";"Sheffield Utd";2;"2020-09-21T17:00:00Z";1;0
"Wolves";"Man City";2;"2020-09-21T19:15:00Z";1;3
"Brighton";"Man United";3;"2020-09-26T11:30:00Z";2;3
"Crystal Palace";"Everton";3;"2020-09-26T14:00:00Z";1;2
"West Bromwich";"Chelsea";3;"2020-09-26T16:30:00Z";3;3
"Burnley";"Southampton";3;"2020-09-26T19:00:00Z";0;1
"Sheffield Utd";"Leeds";3;"2020-09-27T11:00:00Z";0;1
"Tottenham";"Newcastle";3;"2020-09-27T13:00:00Z";1;1
"Man City";"Leicester";3;"2020-09-27T15:30:00Z";2;5
"West Ham";"Wolves";3;"2020-09-27T18:00:00Z";4;0
"Fulham";"Aston Villa";3;"2020-09-28T16:45:00Z";0;3
"Liverpool";"Arsenal";3;"2020-09-28T19:00:00Z";3;1
"Chelsea";"Crystal Palace";4;"2020-10-03T11:30:00Z";4;0
"Everton";"Brighton";4;"2020-10-03T14:00:00Z";4;2
"Leeds";"Man City";4;"2020-10-03T16:30:00Z";1;1
"Newcastle";"Burnley";4;"2020-10-03T19:00:00Z";3;1
"Leicester";"West Ham";4;"2020-10-04T11:00:00Z";0;3
"Southampton";"West Bromwich";4;"2020-10-04T11:00:00Z";2;0
"Arsenal";"Sheffield Utd";4;"2020-10-04T13:00:00Z";2;1
"Wolves";"Fulham";4;"2020-10-04T13:00:00Z";1;0
"Man United";"Tottenham";4;"2020-10-04T15:30:00Z";1;6
"Aston Villa";"Liverpool";4;"2020-10-04T18:15:00Z";7;2
"Everton";"Liverpool";5;"2020-10-17T11:30:00Z";2;2
"Chelsea";"Southampton";5;"2020-10-17T14:00:00Z";3;3
"Man City";"Arsenal";5;"2020-10-17T16:30:00Z";1;0
"Newcastle";"Man United";5;"2020-10-17T19:00:00Z";1;4
"Sheffield Utd";"Fulham";5;"2020-10-18T11:00:00Z";1;1
"Crystal Palace";"Brighton";5;"2020-10-18T13:00:00Z";1;1
"Tottenham";"West Ham";5;"2020-10-18T15:30:00Z";3;3
"Leicester";"Aston Villa";5;"2020-10-18T18:15:00Z";0;1
"West Bromwich";"Burnley";5;"2020-10-19T16:30:00Z";0;0
"Leeds";"Wolves";5;"2020-10-19T19:00:00Z";0;1
"Aston Villa";"Leeds";6;"2020-10-23T19:00:00Z";0;3
"West Ham";"Man City";6;"2020-10-24T11:30:00Z";1;1
"Fulham";"Crystal Palace";6;"2020-10-24T14:00:00Z";1;2
"Man United";"Chelsea";6;"2020-10-24T16:30:00Z";0;0
"Liverpool";"Sheffield Utd";6;"2020-10-24T19:00:00Z";2;1
"Southampton";"Everton";6;"2020-10-25T14:00:00Z";2;0
"Wolves";"Newcastle";6;"2020-10-25T16:30:00Z";1;1
"Arsenal";"Leicester";6;"2020-10-25T19:15:00Z";0;1
